title,abstract,field_1_na,field_1_co,field_2_na,field_2_co,field_3_na,field_3_co
Insights into avian molecular cytogenetics—with reptilian comparisons,"In the last 100 years or so, much information has been accumulated on avian karyology, genetics, physiology, biochemistry and evolution. The chicken genome project generated genomic resources used in comparative studies, elucidating fundamental evolutionary processes, much of it funded by the economic importance of domestic fowl (which are also excellent model species in many areas). Studying karyotypes and whole genome sequences revealed population processes, evolutionary biology, and genome function, uncovering the role of repetitive sequences, transposable elements and gene family expansion. Knowledge of the function of many genes and non-expressed or identified regulatory components is however still lacking. Birds (Aves) are diverse and have striking adaptations for flight, migration and survival; they inhabit all continents and most islands. They also have a unique karyotype with ~ 10 macrochromosomes and ~ 30 microchromosomes that are smaller than other reptiles. Classified into Palaeognathae and Neognathae they are evolutionarily close, and a subset of reptiles. Here we overview avian molecular cytogenetics with reptilian comparisons, shedding light on their karyotypes and genome structure features. We consider avian evolution, then avian (followed by reptilian) karyotypes and genomic features. We consider synteny disruptions, centromere repositioning, and repetitive elements before turning to comparative avian and reptilian genomics. In this context, we review comparative cytogenetics and genome mapping in birds as well as Z- and W-chromosomes and sex determination. Finally, we give examples of pivotal research areas in avian and reptilian cytogenomics, particularly physical mapping and map integration of sex chromosomal genes, comparative genomics of chicken, turkey and zebra finch, California condor cytogenomics as well as some peculiar cytogenetic and evolutionary examples. We conclude that comparative molecular studies and improving resources continually contribute to new approaches in population biology, developmental biology, physiology, disease ecology, systematics, evolution and phylogenetic systematics orientation. This also produces genetic mapping information for chromosomes active in rearrangements during the course of evolution. Further insights into mutation, selection and adaptation of vertebrate genomes will benefit from these studies including physical and online resources for the further elaboration of comparative genomics approaches for many fundamental biological questions.",Animal Science and Zoology,40.00%,Genetics,35.00%,"Evolution, Behavior and Systematics,",25.00%
The molecular biology of fruity and floral aromas in beer and other alcoholic beverages,"Abstract Aroma compounds provide attractiveness and variety to alcoholic beverages. We discuss the molecular biology of a major subset of beer aroma volatiles, fruity and floral compounds, originating from raw materials (malt and hops), or formed by yeast during fermentation. We introduce aroma perception, describe the most aroma-active, fruity and floral compounds in fruits and their presence and origin in beer. They are classified into categories based on their functional groups and biosynthesis pathways: (1) higher alcohols and esters, (2) polyfunctional thiols, (3) lactones and furanones, and (4) terpenoids. Yeast and hops are the main sources of fruity and flowery aroma compounds in beer. For yeast, the focus is on higher alcohols and esters, and particularly the complex regulation of the alcohol acetyl transferase ATF1 gene. We discuss the release of polyfunctional thiols and monoterpenoids from cysteine- and glutathione-S-conjugated compounds and glucosides, respectively, the primary biological functions of the yeast enzymes involved, their mode of action and mechanisms of regulation that control aroma compound production. Furthermore, we discuss biochemistry and genetics of terpenoid production and formation of non-volatile precursors in Humulus lupulus (hops). Insight in these pathways provides a toolbox for creating innovative products with a diversity of pleasant aromas.",Food Science,45.00%,Biotechnology,30.00%,Biochemistry,25.00%
Journal of Cellular and Molecular Medicine: the Future,"The field of Cellular and Molecular Medicine strives to understand the molecular basis of cell physiology and pathology, as well as cellular responses to extracellular stimuli. It integrates molecular cell biology, basic biochemistry and genetics with virology, bacteriology, physiology/pathophysiology, pharmacology, clinical research and bioinformatics. Results from Cellular and Molecular Medicine, along with advances in Genomics and Proteomics, have enabled the development of Precision/Personalized Medicine. A mechanistic understanding of cellular function and molecular interactions is also being used to monitor states of health (state of wellness) and disease, and major international effort has been invested in identifying pre-disease states and in developing ways to prevent progression to overt disease. A continuum can be established in certain cases at the molecular and cellular level between physiology and pathology, with markers, thresholds and a new biology covering those states. One word that captures the area of interest of Journal of Cellular and Molecular Medicine (JCMM) is ‘mechanism’. JCMM aims to publish original and exciting studies that provide a mechanistic understanding of physiological and pathological processes. The review process must analyse results from many experimental systems addressing a wide range of biological questions, and we aim to publish well-executed, novel and original studies that influence progress in the field and have a long-lasting impact. Our review process relies on a group of distinguished Editorial Board Members and Associate Editors, each of which is an expert in their specific area. We have a large database of reviewers with solid credentials in their fields. We work hard to give each manuscript a fair chance, and we review each manuscript in detail in terms of the experimental work carried out, the reproducibility and interpretation of results and the significance of the work. We think individual observations can change the world, provided they are true and valid. We do not aim to rewrite every paper for the authors, nor do we plan their future experiments. We carefully review the merits of the work under analysis. The vast majority of our effort is focussed on primary research papers (especially original articles), but we have published, and will continue to publish, commissioned or spontaneously submitted reviews, provided they offer new information, novel perspectives and authors have previously contributed to the field. Given the broad scope of the journal, and its impact among scientists and clinicians, a major priority is to strengthen the quality of the manuscripts. Like all journals, we need to protect our readers from plagiarism and from misleading papers. That is why we strive to ensure a very thorough and competent review process. We aim to be recognized as a journal that publishes seminal observations that are confirmed and used by others. In other words, we aim to be positively cited. Fast publication is another priority, and we aim to make original observations available to the scientific community as fast as possible so they are of use to other groups in the field. That is why our team works hard to rapidly publish accepted manuscripts online (before they are grouped in formal monthly issues). We do not delay valid and positively reviewed manuscripts that report one novel finding by asking for more complete studies with extensive in vivo transgenic animal model validation. That is not to say that minimal or incomplete data are sufficient, reasonable validation is always required. A journal that focuses on Cellular and Molecular Medicine cannot ignore major unresolved scientific challenges such as understanding the protein folding code, the differentiation code with respect to chromatin spatial structure and gene expression, the molecular basis of communication between stem and progenitor cells, and many others. Results and novel approaches towards tackling these major challenges are within the areas of interest of JCMM. In the same vein, JCMM is interested in publishing studies investigating the mechanisms of action of therapeutics and the molecular and cellular effects of those therapeutics. Recent years have also seen major advances in protein therapeutics such as replacement cytokines and hormones, but also for example, humanized antibodies that are being used for the treatment of many diseases and other protein therapeutics, like single-chain antibodies and diabodies. Developments in this area are as important as the fundamental questions, because novel observations using these agents can help our understanding of cellular functions and the manipulation of cellular functions for therapeutic purposes. Recent years have led to the increased integration of the biomedical field with genomics and proteomics. The successful sequencing of the human genome and developments in bioinformatics allow rapid analysis of proteins and genes studied by mass spectrometry and next-generation sequencing, respectively. We are in the age of mutations and disease where certain mutations explain the phenotype or disease progression. In general, the identification of mutations allowed a paradigm shift in diagnosis and prognosis in many *Correspondence to: Stefan N. CONSTANTINESCU E-mail: stefan.constantinescu@bru.licr.org",Molecular Medicine,70.00%,Cell Biology,20.00%,Molecular Biology,10.00%
Basics of Molecular Biology,"Molecular biology is the study of biology on molecular level. The field overlaps with areas of biology and chemistry, particularly genetics and biochemistry. Molecular biology chiefly concerns itself with understanding the interactions between the various systems of a cell, including the interactions between DNA (deoxyribonucleic acid), RNA (Ribonucleic acid) and protein biosynthesis as well as learning how these interactions are regulated[1].",Molecular Biology,90.00%,Biochemistry,7.00%,Genetics,3.00%
Exploring the molecular genetic foundations of cancer biology and how biomedical advances are made in an advanced undergraduate course,"We describe an advanced, inquiry driven undergraduate course in Cancer Biology that combines faculty lectures typical of undergraduate courses with literature‐driven discussions typical of graduate courses. As a capstone course, one goal of this course is to integrate knowledge from previous coursework in physiology, cell and molecular biology, genetics, and chemistry, so that students acquire a state‐of‐the‐art understanding of cancer and cancer treatment. A related goal is for students to learn, from the primary literature, how science is performed and how new scientific knowledge is used to improve cancer treatment. We report on the development of this course and the methods used to accomplish the course goals. We present the results of a 5‐year survey that provides a detailed picture of the demographics of the class and demonstrates that the course results in improved understanding of both cancer biology and how science is performed. Student responses to our survey strongly support the use of original literature as a teaching tool. We suggest that incorporation of primary literature into advanced undergraduate science courses is an effective approach for improving scientific literacy. © 2019 International Union of Biochemistry and Molecular Biology, 47(4):408–416, 2019.",Education,40.00%,"Biochemistry, Genetics and Molecular Biology (miscellaneous)",35.00%,Cancer Research,25.00%
Remembering the legacy of Professor Mohammad Hashemi: a pioneer in molecular genetic studies in southeast Iran (1965-2019).,"Professor Mohammad Hashemi was a clinical biochemist and cancer genetic scientist. He has been chair and head of Department of Clinical Biochemistry at Zahedan University of Medical Sciences, Zahedan, Iran. He has played an important role in the improvement of understanding of genetics of disease in southeast Iran. He was also a part of international team for the discovery of the role of calprotectin (S100A8/A9) in cancer biology via regulation of cell fate in tumor cells. He had over 300 peer-reviewed scientific publications and trained significant numbers of high quality personals (>40) in the field of biomedical sciences. His sudden death in 2019 shocked national and international scientific society but his scientific legacy will remain alive forever.",Genetics,45.00%,Cancer Research,35.00%,Biochemistry,20.00%
Coagulation disorders seen through the window of molecular biology,"Coagulation disorders have been traditionally worked up by their clinical phenotypes and coagulation factor assays which are dependent on APTT- and PT-based techniques. Development of chromogenic substrates in the late seventies and early eighties allowed coagulation factors to be measured like enzymes. There was still a major lacuna in the understanding of the biology of different coagulation disorders. Modern molecular biology - which developed as an unique synthesis of biochemistry, immunology, cell biology, and genetics - allowed us to have a more comprehensive understanding of the pathobiology of many of these coagulation disorders. This overview presents several examples which show how we have enriched our understanding about the varied clinical phenotypes of different coagulation disorders.",Hematology,70.00%,Genetics,20.00%,Molecular Medicine,10.00%
Recent contributions of molecular biology to the clinical virology of myxoviruses.,Recent advances in the clinical virology of influenza are based on non-pragmatically oriented research on the genetics and biochemistry of the influenza virus. Antigenically hybrid recombinant viruses can be tailored to provide monospecific reagents for serological studies. Basic research on viral structure and the mechanism of viral replication has directly influenced the establishment of a cell culture system suitable for the isolation of most influenza viruses. Identification of viral genotype by RNA gel electrophoresis and mapping of oligonucleotides of viral RNA has already facilitated epidemiologic investigations. The clinical virologist of the future must have an understanding of the potential limitations of these techniques for specific strain identification.,Virology,70.00%,Infectious Diseases,20.00%,Genetics,10.00%
Cell cycle checkpoint control: The cyclin G1/Mdm2/p53 axis emerges as a strategic target for broad-spectrum cancer gene therapy - A review of molecular mechanisms for oncologists,"Basic research in genetics, biochemistry and cell biology has identified the executive enzymes and protein kinase activities that regulate the cell division cycle of all eukaryotic organisms, thereby elucidating the importance of site-specific protein phosphorylation events that govern cell cycle progression. Research in cancer genomics and virology has provided meaningful links to mammalian checkpoint control elements with the characterization of growth-promoting proto-oncogenes encoding c-Myc, Mdm2, cyclins A, D1 and G1, and opposing tumor suppressor proteins, such as p53, pRb, p16INK4A and p21WAF1, which are commonly dysregulated in cancer. While progress has been made in identifying numerous enzymes and molecular interactions associated with cell cycle checkpoint control, the marked complexity, particularly the functional redundancy, of these cell cycle control enzymes in mammalian systems, presents a major challenge in discerning an optimal locus for therapeutic intervention in the clinical management of cancer. Recent advances in genetic engineering, functional genomics and clinical oncology converged in identifying cyclin G1 (CCNG1 gene) as a pivotal component of a commanding cyclin G1/Mdm2/p53 axis and a strategic locus for re-establishing cell cycle control by means of therapeutic gene transfer. The purpose of the present study is to provide a focused review of cycle checkpoint control as a practicum for clinical oncologists with an interest in applied molecular medicine. The aim is to present a unifying model that: i) clarifies the function of cyclin G1 in establishing proliferative competence, overriding p53 checkpoints and advancing cell cycle progression; ii) is supported by studies of inhibitory microRNAs linking CCNG1 expression to the mechanisms of carcinogenesis and viral subversion; and iii) provides a mechanistic basis for understanding the broad-spectrum anticancer activity and single-agent efficacy observed with dominant-negative cyclin G1, whose cytocidal mechanism of action triggers programmed cell death. Clinically, the utility of companion diagnostics for cyclin G1 pathways is anticipated in the staging, prognosis and treatment of cancers, including the potential for rational combinatorial therapies.",Cancer Research,70.00%,Molecular Medicine,20.00%,Molecular Biology,10.00%
Bibliometric analysis of Indonesian herbal plant gambir (Uncaria gambir Roxb.),"This bibliometric study investigates the evolution of research on Gambir (Uncaria gambir Roxb.), an herbal plant native to Indonesia, from 1894 to 2024. Using data from 288 documents sourced from the Scopus database, the study explores publication trends, contributions by researchers and institutions, and patterns of international collaboration. The findings indicate a notable rise in publications, particularly after 2005, with a sharp increase during 2020-2024. Indonesia leads the research efforts with over 160 publications, followed by Japan and Malaysia. Andalas University stands out as a key research hub, contributing around 60 publications. An analysis of subject areas reveals that the majority of research is concentrated in Pharmacology, Toxicology, and Pharmacy (15.2%), with Medicine (12.1%) and Biochemistry, Genetics, and Molecular Biology (10.2%) following. Journal articles make up the bulk of the publications (75%), highlighting the significance of peer-reviewed studies. Co-occurrence analysis identifies four primary research clusters, focusing on antioxidant properties, in vivo studies, antibacterial activity, and drug development. The pattern of international collaboration shows strong partnerships between Indonesia and other Asian nations, particularly Japan and Malaysia. The research emphasizes Gambir's bioactive properties, its potential in medical and pharmaceutical applications, and innovations in nanotechnology and materials science. In summary, this analysis highlights Gambir's broad potential in various scientific and medical areas, as well as the critical role of international cooperation in advancing the understanding of this plant.","Pharmacology, Toxicology and Pharmaceutics (miscellaneous)",45.00%,Plant Science,35.00%,"Biochemistry, Genetics and Molecular Biology (miscellaneous)",20.00%
Alfalfa (Medicago sativa L.): literature quantitative research analysis.,"Medicago sativa L., also known as alfalfa, is a perennial crop native of the Mediterranean area. It is one of the most widely cultivated plants due to its adaptability to diverse environments. This communication aims at giving an updated picture of Medicago sativa L.; a literature quantitative research analysis was carried out based on the Scopus database content. The resulting research gives 20,565 documents, which cover a time range between 1866 and 2025. The main subject areas are as follows: Agricultural and Biological Sciences, Biochemistry, Genetics and Molecular Biology, Environmental Science, and others. The main relevant research directions, challenges, and emerging applications are explored.",Agronomy and Crop Science,70.00%,Plant Science,20.00%,Agricultural and Biological Sciences (miscellaneous),10.00%
"Blood Coagulation Factor IX: Structure, Function, and Regulation","Blood coagulation factor IX plays a crucial role in the intrinsic pathway of coagulation by generating factor Xa, ultimately leading to thrombin formation. Over the past 50 years, extensive research has deepened our understanding of the biology, physiology, pathology, biochemistry, and molecular genetics of factor IX. This wealth of knowledge has revealed how the factor IX gene and protein evolved, how factor IX is regulated, how it functions within the coagulation cascade, and how structural changes affect its function. In this review, we will summarize current knowledge on the biology of factor IX, with a focus on its structure–function relationships, gene structure, and regulation.",Hematology,70.00%,Biochemistry,20.00%,Genetics,10.00%
Are the Ethics of Synthetic Biology Fit for Purpose? A Case Study of Artemisinin,"Synthetic biology (SB) applies the engineering cycle of ‘design-build-test-learn’ to create new living systems. It is a multidisciplinary practice drawing on molecular biology, genetics, engineering, computing, biochemistry among other disciplines, linked by an underlying commitment to the design approach. The foundational premise of SB is seductively appealing: work with biological organisms as if their parts are or can be standardized, in order to understand how they work and engineer them to serve human purposes. SB thus offers a vision of navigating and controlling the otherwise-chaotic complexity of living biological systems.",History,45.00%,Biotechnology,35.00%,Bioengineering,20.00%
Methods and Strategies of Teaching Microbiology in Nigerian Higher Institutions: Problems and Remedies,"One of the fundamental biological sciences, microbiology is crucial to understanding life's processes and has been at the forefront of study in this area. Many of the significant discoveries made over the past few decades that have served to clarify the basic ideas of molecular biology, biochemistry, and genetics came from research with microorganisms. Employers of labor are quite concerned about the quality of microbiology graduates coming out of our educational schools and their lack of readiness for employment. They contend that academic standards have significantly declined over the years and that a certificate, OND/HND, or BSc from a university does not imply that the holder is technically or communicatively competent. A few techniques have been used to improve instruction. Several techniques have been used to enhance the teaching of microbiology, including the use of posters and PowerPoint presentations, social networking sites (such as Facebook and ASM Connect), virtual simulators, and service learning techniques. Lack of money, subpar teaching facilities, a reduction in staff quality, and out-of-date curricula are all barriers to teaching microbiology. To reverse this situation and improve the effective teaching and learning of microbiology in higher institutions, measures such as effective funding of microbiology departments, improvement organizations of teacher's training and workshops, and use of electronic tools for teaching should be put into place. The current microbiology teaching materials may be digitalized and made freely available online, which would greatly expand the learning opportunities for both students and microbiology educators of medically related courses of study. Emphasis is also placed on teaching microbiology in an advanced manner, making use of all the benefits that contemporary techniques and methods offer. Results and criticism related to advancements in microbiology teaching techniques could be networked and disseminated among stakeholders.",Education,70.00%,Microbiology,20.00%,Education,10.00%
Artificial intelligence for life sciences: A comprehensive guide and future trends,"Artificial intelligence has had a profound impact on life sciences. This review discusses the application, challenges, and future development directions of artificial intelligence in various branches of life sciences, including zoology, plant science, microbiology, biochemistry, molecular biology, cell biology, developmental biology, genetics, neuroscience, psychology, pharmacology, clinical medicine, biomaterials, ecology, and environmental science. It elaborates on the important roles of artificial intelligence in aspects such as behavior monitoring, population dynamic prediction, microorganism identification, and disease detection. At the same time, it points out the challenges faced by artificial intelligence in the application of life sciences, such as data quality, black-box problems, and ethical concerns. The future directions are prospected from technological innovation and interdisciplinary cooperation. The integration of Bio-Technologies (BT) and Information-Technologies (IT) will transform the biomedical research into AI for Science and Science for AI paradigm.
","General Biochemistry, Genetics and Molecular Biology",40.00%,General Computer Science,35.00%,Multidisciplinary,25.00%
"XVI З’ЇЗД ТОВАРИСТВА МІКРОБІОЛОГІВ УКРАЇНИ ІМЕНІ СЕРГІЯ ВИНОГРАДСЬКОГО, 2–6 ЧЕРВНЯ 2025 р., м. ТЕРНОПІЛЬ","This article summarizes the XVI Congress of the Serhiy Vynogradsky Society of Microbiologists of Ukraine (SMU). The event took place from June 2 to June 6, 2025, in Ternopil, hosted by the I. Ya. Horbachevsky Ternopil National Medical University. 
The congress was structured around several key themes: microorganism ecology and biodiversity, microbial biotechnologies, nanobiotechnologies, and bioremediation, medical and veterinary microbiology and immunology, physiology, biochemistry, genetics, and molecular biology of microorganisms, virology. 
Approximately 120 scientists participated, representing 16 regional branches, both in-person and online. A collection of abstracts was published. During the event, attendees heard and discussed 25 plenary lectures, 61 sectional presentations, and 17 presentations from various scientific institutions and educational establishments across Ukraine and internationally. 
A resolution was adopted, and Academician Mykola Spivak of the National Academy of Sciences of Ukraine was elected as the new president of the society.",Microbiology,70.00%,Biotechnology,20.00%,Immunology,10.00%
Replication and Transcription of Human Mitochondrial DNA.,"Mammalian mitochondrial DNA (mtDNA) is replicated and transcribed by phage-like DNA and RNA polymerases, and our understanding of these processes has progressed substantially over the last several decades. Molecular mechanisms have been elucidated by biochemistry and structural biology and essential in vivo roles established by cell biology and mouse genetics. Single molecules of mtDNA are packaged by mitochondrial transcription factor A into mitochondrial nucleoids, and their level of compaction influences the initiation of both replication and transcription. Mutations affecting the molecular machineries replicating and transcribing mtDNA are important causes of human mitochondrial disease, reflecting the critical role of the genome in oxidative phosphorylation system biogenesis. Mechanisms controlling mtDNA replication and transcription still need to be clarified, and future research in this area is likely to open novel therapeutic possibilities for treating mitochondrial dysfunction.",Biochemistry,45.00%,Genetics,35.00%,Molecular Biology,20.00%
A rich and bountiful harvest: Key discoveries in plant cell biology,"Abstract The field of plant cell biology has a rich history of discovery, going back to Robert Hooke’s discovery of cells themselves. The development of microscopes and preparation techniques has allowed for the visualization of subcellular structures, and the use of protein biochemistry, genetics, and molecular biology has enabled the identification of proteins and mechanisms that regulate key cellular processes. In this review, seven senior plant cell biologists reflect on the development of this research field in the past decades, including the foundational contributions that their teams have made to our rich, current insights into cell biology. Topics covered include signaling and cell morphogenesis, membrane trafficking, cytokinesis, cytoskeletal regulation, and cell wall biology. In addition, these scientists illustrate the pathways to discovery in this exciting research field.",Plant Science,70.00%,Cell Biology,20.00%,Biochemistry,10.00%
"Enzymatic ""combustion"": the microbial degradation of lignin.",INTRODUCTION ....................................................................................................................................... 465 LIGNIN AS A SUBSTRATE ............................................................................................................................... 466 MICROBIOLOGY OF LIGNIN BIODEGRADATI ON ........................................................................... 468 Anaerobic Conditions ............................................................................................................................... 469 Aerobic Conditions ................................................................................................................................... 469 LIGNIN DEGRADATION BY WHITEROT FUNGI ............................................................................. 471 Physiology .......................................................................................................................................................... 472 Biochemistry ............................................................................................................................................ 475 Genetics ..............................................................................................................................................................486 Molecular Biology .................................................................................................................................... 489 CONCLUSIONS AND RECOMMENDATIONS ..................................................................................... 491 ENZYMATIC “COMBUSTION” ........................................................................................................................ 493,Plant Science,40.00%,Biochemistry,35.00%,Microbiology,25.00%
Herbicide Resistance in Plants: Biology and Biochemistry,"The late 1980s saw an explosion in the amount and diversity of herbicide resistance, posing a threat to crop production in many countries. The rapid escalation in herbicide resistance worldwide has meant that the understanding of resistance at the population, biochemical and molecular level has also been developed. Leading researchers from North America, Australia and Western Europe present reviews which consider the population dynamics and genetics, biochemistry and argo-ecology of resistance. This text should be a useful reference for those interested in evolution and the ability of species to overcome severe environmental stress.",Agronomy and Crop Science,45.00%,Plant Science,35.00%,Biochemistry,20.00%
The genome sequence of the filamentous fungus Neurospora crassa,"Neurospora crassa is a central organism in the history of twentieth-century genetics, biochemistry and molecular biology. Here, we report a high-quality draft sequence of the N. crassa genome. The approximately 40-megabase genome encodes about 10,000 protein-coding genes—more than twice as many as in the fission yeast Schizosaccharomyces pombe and only about 25% fewer than in the fruitfly Drosophila melanogaster. Analysis of the gene set yields insights into unexpected aspects of Neurospora biology including the identification of genes potentially associated with red light photobiology, genes implicated in secondary metabolism, and important differences in Ca2+ signalling as compared with plants and animals. Neurospora possesses the widest array of genome defence mechanisms known for any eukaryotic organism, including a process unique to fungi called repeat-induced point mutation (RIP). Genome analysis suggests that RIP has had a profound impact on genome evolution, greatly slowing the creation of new genes through genomic duplication and resulting in a genome with an unusually low proportion of closely related genes.",Genetics,70.00%,Molecular Biology,20.00%,Biotechnology,10.00%
Transcription regulation by histone methylation: interplay between different covalent modifications of the core histone tails.,"Department of Biochemistry and Biophysics, Curriculum in Genetics and Molecular Biology, Lineberger Comprehensive Cancer Center, University of North Carolina at Chapel Hill, North Carolina 27599-7295, USA; Howard Hughes Medical Institute, Division of Nucleic Acids Enzymology, Department of Biochemistry, University of Medicine and Dentistry of New Jersey, Robert Wood Johnson Medical School, Piscataway, New Jersey 08854, USA",Biochemistry,70.00%,Genetics,20.00%,Molecular Biology,10.00%
Food control and a citizen science approach for improving teaching of Genetics in universities,"A Citizen Science approach was implemented in the laboratory practices of Genetics at the University of Oviedo, related with the engaging topic of Food Control. Real samples of food products consumed by students at home (students as samplers) were employed as teaching material in three different courses of Genetics during the academic year 2014–2015: Experimental Methods in Food Production (MBTA) (Master level), and Applied Molecular Biology (BMA) and Conservation Genetics and Breeding (COMGE) (Bachelor/Degree level). Molecular genetics based on PCR amplification of DNA markers was employed for species identification of 22 seafood products in COMGE and MBTA, and for detection of genetically modified (GM) maize from nine products in BMA. In total six seafood products incorrectly labeled (27%), and two undeclared GM maize (22%) were found. A post‐Laboratory survey was applied for assessing the efficacy of the approach for improving motivation in the Laboratory Practices of Genetics. Results confirmed that students that worked on their own samples from local markets were significantly more motivated and better evaluated their Genetic laboratory practices than control students (χ2 = 12.11 p = 0.033). Our results suggest that citizen science approaches could not be only useful for improving teaching of Genetics in universities but also to incorporate students and citizens as active agents in food control. © 2016 by The International Union of Biochemistry and Molecular Biology, 44(5):450–462, 2016.",Education,40.00%,Genetics,35.00%,Food Science,25.00%
The Early Influence of the Institut Pasteur on the Emergence of Molecular Biology,"I met Jacques Monod for the first time in September 1944. The 4 years of the hellish Nazi occupation of France were over. Jacques was still wearing the uniform of an officer of the French Army. I was 24 years old and had a relatively limited research experience: six months in the Laboratory of Animal Physiology at the Sorbonne (1939–1940), a few months in the Laboratory of Pharmacology at the Pharmacy School of the University of Montpellier (1941), a few months in the Department of Biochemistry of the Medical School in Marseille (1942), and a year in the Department of Biochemistry of the Institut Pasteur (1943–1944). These activities were interrupted by the military service, a few weeks of captivity, an escape, my marriage, and the birth of my first child. This should explain my lack of professional training and my great desire to find a person who could help me. Jacques Monod became rapidly my mentor. In 1946, Lwoff and Monod went together to the Cold Spring Harbor Symposium on Heredity and Variation in Microorganisms. This symposium reinitiated a series after a 3-year interruption imposed by the war emergency. It could have been held in the summer of 1945 but was postponed for a year because of travel restrictions. This delay was a fortunate one because whereas the genetics and physiology of microorganisms had made remarkable progress in the laboratories of the United States, when the contacts were reestablished it was found that many discoveries in the same field had been made in Western Europe. As a consequence, the scope of the program was considerably broadened. In addition to Lwoff and Monod, the French contingent included Latarjet and Ephrussi. The symposium presented several important discoveries such as the findings of Anderson, Delbrück, Bailey, and Hershey in phage genetics; those of Lindegren and Pontecorvo on yeast and fungal genetics; and those of Luria, Lwoff, Tatum, Demerec, Latarjet, and Ryan on bacterial mutability. There was also a two-page report by Joshua Lederberg in which bacterial recombination was elegantly demonstrated. However, above all the meeting represented, to echo Seymour Cohen, the emergence of a major young and new scientific community after World War II. The origin of the -galactosidase saga can be traced back to the doctoral thesis of Jacques Monod, published 60 years ago, and devoted to the study of bacterial growth. During these studies begun in 1937, Monod had observed that when Bacillus subtilis or Escherichia coli were grown on a mixture of two particular sugars, growth occurred in two distinct phases separated by a lag time. During the first phase only one of the two sugars was metabolized, and the second began to be degraded only when the first sugar had totally disappeared. Glucose was found to belong to the first category and lactose to the second (1, 2). A few days after I first met Jacques Monod, he described to me his experiments on this diauxic growth and told me that it might take 20 years or more before this observation receives a molecular explanation, but he was determined to accept the challenge (Fig. 1). During the 1940s, several theories tried to explain the phenomenon of enzymatic adaptation such as the functional hypothesis, where the inducer acts as a substrate, or the equilibrium hypothesis, where it displaces the equilibrium between an inactive precursor and the active enzyme. THE JOURNAL OF BIOLOGICAL CHEMISTRY Vol. 277, No. 52, Issue of December 27, pp. 50215–50218, 2002 © 2002 by The American Society for Biochemistry and Molecular Biology, Inc. Printed in U.S.A.",History,70.00%,Biochemistry,20.00%,Molecular Biology,10.00%
A remote undergraduate biology seminar on SARS‐CoV‐2 literature,"At our small liberal arts college, we require undergraduates majoring in Biology and Biomedical Sciences to take a seminar in the spring of their senior year. Each year, the seminar focuses on a different topic in molecular biology and/or biochemistry. The course operates as a “journal club”—every week, a student presents a peer‐reviewed research article, and the instructor moderates a discussion. When the transition to remote learning occurred due to the COVID‐19 pandemic in March 2020, the seminar meetings were moved online to a Zoom‐based platform, and the course topic was changed to focus on emerging research regarding the novel coronavirus. The continuation of the Biology senior seminar in a remote context was straightforward, and the SARS‐CoV‐2 virus furnished a rich theme for exploration of diverse topics in molecular biology and genetics.",Education,40.00%,"Biochemistry, Genetics and Molecular Biology (miscellaneous)",35.00%,"General Biochemistry, Genetics and Molecular Biology",25.00%
Evolution of Virology: Science History through Milestones and Technological Advancements,"The history of virology, which is marked by transformative breakthroughs, spans microbiology, biochemistry, genetics, and molecular biology. From the development of Jenner’s smallpox vaccine in 1796 to 20th-century innovations such as ultrafiltration and electron microscopy, the field of virology has undergone significant development. In 1898, Beijerinck laid the conceptual foundation for virology, marking a pivotal moment in the evolution of the discipline. Advancements in influenza A virus research in 1933 by Richard Shope furthered our understanding of respiratory pathogens. Additionally, in 1935, Stanley’s determination of viruses as solid particles provided substantial progress in the field of virology. Key milestones include elucidation of reverse transcriptase by Baltimore and Temin in 1970, late 20th-century revelations linking viruses and cancer, and the discovery of HIV by Sinoussi, Montagnier, and Gallo in 1983, which has since shaped AIDS research. In the 21st century, breakthroughs such as gene technology, mRNA vaccines, and phage display tools were achieved in virology, demonstrating its potential for integration with molecular biology. The achievements of COVID-19 vaccines highlight the adaptability of virology to global health.",History,50.00%,Virology,30.00%,Microbiology,20.00%
A multifaceted bioactive resource of stingless bees: Unlocking the therapeutic anti- antimicrobial-resistance (anti-AMR) potential of pot-pollen,"Pot-pollen, a probiotic processed by stingless bees, has gained attention for its nutraceutical properties and pleasant sour taste. The aim of this editorial is to illustrate the state-of-the-art of pot-pollen research with a bibliometric overview using the Scopus database to value the experimental bioactivity (antimicrobial, antioxidant, anti-inflammatory, and anticancer) of pot-pollen, and the standards for quality control and safety of pot-pollen legislation, considered mandatory for clinical applications of this highly variable natural product. The bibliometric analysis since 2014 revealed a growing interest in pot-pollen research, with a focus on the following academic disciplines: Agricultural and Biological Sciences, Engineering, Biochemistry, Genetics and Molecular Biology, and Environmental Science. Nevertheless, the lack of medicine in subject areas and clinical research in medical journals, indicates a necessity for further studies on the potential applications of pot-pollen in human health. In conclusion, pot-pollen emerges as a bioactive material with health benefits, and a novel synergism with antibiotics reveals its therapeutic anti-antimicrobial-resistance (anti-AMR) potential, deserving further research to fully elucidate its potential in modern medicine.",Food Science,40.00%,Pharmacology,35.00%,Microbiology,25.00%
