Title,Abstract
Research Progress of Respiratory Disease and Idiopathic Pulmonary Fibrosis Based on Artificial Intelligence,"Machine Learning (ML) is an algorithm based on big data, which learns patterns from the previously observed data through classifying, predicting, and optimizing to accomplish specific tasks. In recent years, there has been rapid development in the field of ML in medicine, including lung imaging analysis, intensive medical monitoring, mechanical ventilation, and there is need for intubation etiology prediction evaluation, pulmonary function evaluation and prediction, obstructive sleep apnea, such as biological information monitoring and so on. ML can have good performance and is a great potential tool, especially in the imaging diagnosis of interstitial lung disease. Idiopathic pulmonary fibrosis (IPF) is a major problem in the treatment of respiratory diseases, due to the abnormal proliferation of fibroblasts, leading to lung tissue destruction. The diagnosis mainly depends on the early detection of imaging and early treatment, which can effectively prolong the life of patients. If the computer can be used to assist the examination results related to the effects of fibrosis, a timely diagnosis of such diseases will be of great value to both doctors and patients. We also previously proposed a machine learning algorithm model that can play a good clinical guiding role in early imaging prediction of idiopathic pulmonary fibrosis. At present, AI and machine learning have great potential and ability to transform many aspects of respiratory medicine and are the focus and hotspot of research. AI needs to become an invisible, seamless, and impartial auxiliary tool to help patients and doctors make better decisions in an efficient, effective, and acceptable way. The purpose of this paper is to review the current application of machine learning in various aspects of respiratory diseases, with the hope to provide some help and guidance for clinicians when applying algorithm models."
"Fungal Genomics in Respiratory Medicine: What, How and When?","Respiratory infections caused by fungal pathogens present a growing global health concern and are a major cause of death in immunocompromised patients. Worryingly, coronavirus disease-19 (COVID-19) resulting in acute respiratory distress syndrome has been shown to predispose some patients to airborne fungal co-infections. These include secondary pulmonary aspergillosis and mucormycosis. Aspergillosis is most commonly caused by the fungal pathogen Aspergillus fumigatus and primarily treated using the triazole drug group, however in recent years, this fungus has been rapidly gaining resistance against these antifungals. This is of serious clinical concern as multi-azole resistant forms of aspergillosis have a higher risk of mortality when compared against azole-susceptible infections. With the increasing numbers of COVID-19 and other classes of immunocompromised patients, early diagnosis of fungal infections is critical to ensuring patient survival. However, time-limited diagnosis is difficult to achieve with current culture-based methods. Advances within fungal genomics have enabled molecular diagnostic methods to become a fast, reproducible, and cost-effective alternative for diagnosis of respiratory fungal pathogens and detection of antifungal resistance. Here, we describe what techniques are currently available within molecular diagnostics, how they work and when they have been used."
Defining Impaired Respiratory Health. A Paradigm Shift for Pulmonary Medicine,"Respiratory research has historically focused on identifying risk factors for and treatment of established lung disease. Public health approaches to common conditions, however, mandate that health promotion is a central feature of disease prevention. While smoking initiation prevention and cessation efforts are essential to respiratory health promotion, there are far fewer accepted strategies of preventative care in respiratory medicine compared with cardiovascular medicine. A key reason for this is the absence of a comprehensive body of research guiding the assessment of risk for respiratory disease as has been established for cardiovascular disease. Recent evidence provides insight into how the respiratory community can shift research priorities towards developing a definition of respiratory health spanning ideal health, impaired health, and disease. Central to defining respiratory health are the dual concepts of pulmonary reserve as reflected by peak respiratory health in young adulthood and susceptibility as reflected by the rate of lung function decline following the attainment of this peak. Clear delineation of factors influencing pulmonary reserve and susceptibility and their underlying pathobiology will enable risk stratification and prediction of future respiratory disease as well as earlier treatment of chronic disease, akin to comprehensive models of care already employed in the cardiovascular field."
Artificial intelligence and machine learning in respiratory medicine,"ABSTRACT Introduction The application of artificial intelligence (AI) and machine learning (ML) in medicine and in particular in respiratory medicine is an increasingly relevant topic. Areas covered We aimed to identify and describe the studies published on the use of AI and ML in the field of respiratory diseases. The string ‘(((pulmonary) OR respiratory)) AND ((artificial intelligence) OR machine learning)’ was used in PubMed as a search strategy. The majority of studies identified corresponded to the area of chronic obstructive pulmonary disease (COPD), in particular to COPD and chest computed tomography scans, interpretation of pulmonary function tests, exacerbations and treatment. Another field of interest is the application of AI and ML to the diagnosis of interstitial lung disease, and a few other studies were identified on the fields of mechanical ventilation, interpretation of images on chest X-ray and diagnosis of bronchial asthma. Expert opinion ML may help to make clinical decisions but will not replace the physician completely. Human errors in medicine are associated with large financial losses, and many of them could be prevented with the help of AI and ML. AI is particularly useful in the absence of conclusive evidence of decision-making."
"Relationship between air pollution exposure and the progression of idiopathic pulmonary fibrosis in Madrid: Chronic respiratory failure, hospitalizations, and mortality. A retrospective study","Introduction Air pollution has a significant impact on the morbidity and mortality of various respiratory diseases. However, this has not been widely studied in diffuse interstitial lung diseases, specifically in idiopathic pulmonary fibrosis. Objective In this study we aimed to assess the relationship between four major air pollutants individually [carbon monoxide (CO), nitrogen dioxide (NO2), ozone (O3), and nitrogen oxides (NOx)] and the development of chronic respiratory failure, hospitalization due to respiratory causes and mortality in patients with idiopathic pulmonary fibrosis. Methods We conducted an exploratory retrospective panel study from 2011 to 2020 in 69 patients with idiopathic pulmonary fibrosis from the pulmonary medicine department of a tertiary hospital. Based on their geocoded residential address, levels of each pollutant were estimated 1, 3, 6, 12, and 36 months prior to each event (chronic respiratory failure, hospital admission and mortality). Data was collected from the air quality monitoring stations of the Community of Madrid located <3.5 km (2.2 miles) from each patient's home. Results The increase in average values of CO [OR 1.62 (1.11–2.36) and OR 1.84 (1.1–3.06)], NO2 [OR 1.64 (1.01–2.66)], and NOx [OR 1.11 (1–1.23) and OR 1.19 (1.03–1.38)] were significantly associated with the probability of developing chronic respiratory failure in different periods. In addition, the averages of NO2, O3, and NOx were significantly associated with the probability of hospital admissions due to respiratory causes and mortality in these patients. Conclusion Air pollution is associated with an increase in the probability of developing chronic respiratory failure, hospitalization due to respiratory causes and mortality in patients with idiopathic pulmonary fibrosis."
Applications of artificial intelligence and machine learning in respiratory medicine,"The past 5 years have seen an explosion of interest in the use of artificial intelligence (AI) and machine learning techniques in medicine. This has been driven by the development of deep neural networks (DNNs)—complex networks residing in silico but loosely modelled on the human brain—that can process complex input data such as a chest radiograph image and output a classification such as ‘normal’ or ‘abnormal’. DNNs are ‘trained’ using large banks of images or other input data that have been assigned the correct labels. DNNs have shown the potential to equal or even surpass the accuracy of human experts in pattern recognition tasks such as interpreting medical images or biosignals. Within respiratory medicine, the main applications of AI and machine learning thus far have been the interpretation of thoracic imaging, lung pathology slides and physiological data such as pulmonary function tests. This article surveys progress in this area over the past 5 years, as well as highlighting the current limitations of AI and machine learning and the potential for future developments."
Differences in care between general medicine and respiratory specialists in the management of patients hospitalized for acute exacerbations of chronic obstructive pulmonary disease,"CONTEXT: Hospitalized patients with acute exacerbations of chronic obstructive pulmonary disease (AECOPD) may be managed by either respiratory specialists (RS) or general medicine physicians (GMP). While previous studies have audited the hospital AECOPD management of RS, only a small number of studies have evaluated the management of GMP. AIMS: The aims of this study were to firstly examine the differences in AECOPD management of GMP and RS and secondly compare their care to national COPD guidelines. METHODS: A retrospective review was undertaken of consecutive AECOPD patients admitted to two hospitals (one hospital where all AECOPD patients were managed by RS and another where all AECOPD patients were managed by GMP) over a 3-month period. Electronic medical records, medical case notes, pathology and radiology data for the admission were reviewed. RESULTS: There were 201 COPD exacerbations in 169 patients (49.7% male, mean age 72.3). GMP managed 84 (41.7%) exacerbations. In comparison to RS, GMP performed fewer spirometry tests, blood gas analysis and less frequently treated patients with guideline-recommended medications. Referral to pulmonary rehabilitation was poor for both groups of clinicians. Median length of stay was shorter in GMP patients versus RS patients (3 days vs. 5 days, P = 0.001). There were no differences in the 12-month re-admission (41.7% vs. 38.5%, P = 0.664) and mortality rates (10.7% vs. 6%, P = 0.292) between both groups of patients. CONCLUSION: Our study found differences in the hospital AECOPD management of GMP and RS, but these did not translate into different clinical outcomes between their patients. We also found suboptimal adherence to national COPD guidelines, suggesting that there is scope for improvement in the AECOPD management of both groups of clinicians."
Cardiogenic Pulmonary Edema in Emergency Medicine,"Highlights What are the main findings? Cardiogenic pulmonary edema is the most common cause of respiratory failure and results from increased cardiac filling pressure and alveolar-epithelial barrier breakdown due to factors like inflammation, leukocyte infiltration, procoagulant processes, and ion channel modification by reactive oxygen and nitrogen species. Rapid evaluation of the patient with cardiogenic pulmonary edema and appropriate treatment are necessary to reduce mortality and morbidity. What is the implication of the main finding? Bedside tests, especially ultrasound, help us to quickly identify and to understand the need of amine support. Optimal therapy for patients with cardiogenic pulmonary edema hinges on precise phenotypic identification and etiological assessment, with early consideration of non-invasive ventilation and diuretics. Hypoperfusion necessitates inotropes and, at times, vasopressors, while individuals exhibiting persistent symptoms and diuretic resistance may benefit from vasodilators and additional therapeutic strategies, including beta-agonists, underscoring the need for further studies to explore medical interventions in mitigating pulmonary damage in CPE patients. Abstract Cardiogenic pulmonary edema (CPE) is characterized by the development of acute respiratory failure associated with the accumulation of fluid in the lung’s alveolar spaces due to an elevated cardiac filling pressure. All cardiac diseases, characterized by an increasing pressure in the left side of the heart, can cause CPE. High capillary pressure for an extended period can also cause barrier disruption, which implies increased permeability and fluid transfer into the alveoli, leading to edema and atelectasis. The breakdown of the alveolar-epithelial barrier is a consequence of multiple factors that include dysregulated inflammation, intense leukocyte infiltration, activation of procoagulant processes, cell death, and mechanical stretch. Reactive oxygen and nitrogen species (RONS) can modify or damage ion channels, such as epithelial sodium channels, which alters fluid balance. Some studies claim that these patients may have higher levels of surfactant protein B in the bloodstream. The correct approach to patients with CPE should include a detailed medical history and a physical examination to evaluate signs and symptoms of CPE as well as potential causes. Second-level diagnostic tests, such as pulmonary ultrasound, natriuretic peptide level, chest radiograph, and echocardiogram, should occur in the meantime. The identification of the specific CPE phenotype is essential to set the most appropriate therapy for these patients. Non-invasive ventilation (NIV) should be considered early in the treatment of this disease. Diuretics and vasodilators are used for pulmonary congestion. Hypoperfusion requires treatment with inotropes and occasionally vasopressors. Patients with persistent symptoms and diuretic resistance might benefit from additional approaches (i.e., beta-agonists and pentoxifylline). This paper reviews the pathophysiology, clinical presentation, and management of CPE."
A systematic review of the research progress of traditional Chinese medicine against pulmonary fibrosis: from a pharmacological perspective,"Pulmonary fibrosis is a chronic progressive interstitial lung disease caused by a variety of etiologies. The disease can eventually lead to irreversible damage to the lung tissue structure, severely affecting respiratory function and posing a serious threat to human health. Currently, glucocorticoids and immunosuppressants are the main drugs used in the clinical treatment of pulmonary fibrosis, but their efficacy is limited and they can cause serious adverse effects. Traditional Chinese medicines have important research value and potential for clinical application in anti-pulmonary fibrosis. In recent years, more and more scientific researches have been conducted on the use of traditional Chinese medicine to improve or reduce pulmonary fibrosis, and some important breakthroughs have been made. This review paper systematically summarized the research progress of pharmacological mechanism of traditional Chinese medicines and their active compounds in improving or reducing pulmonary fibrosis. We conducted a systematic search in several main scientific databases, including PubMed, Web of Science, and Google Scholar, using keywords such as idiopathic pulmonary fibrosis, pulmonary fibrosis, interstitial pneumonia, natural products, herbal medicine, and therapeutic methods. Ultimately, 252 articles were included and systematically evaluated in this analysis. The anti-fibrotic mechanisms of these traditional Chinese medicine studies can be roughly categorized into 5 main aspects, including inhibition of epithelial-mesenchymal transition, anti-inflammatory and antioxidant effects, improvement of extracellular matrix deposition, mediation of apoptosis and autophagy, and inhibition of endoplasmic reticulum stress. The purpose of this article is to provide pharmaceutical researchers with information on the progress of scientific research on improving or reducing Pulmonary fibrosis with traditional Chinese medicine, and to provide reference for further pharmacological research."
Medicine Targeting Epithelial-Mesenchymal Transition to Treat Airway Remodeling and Pulmonary Fibrosis Progression,"Objective. Dysregulation of epithelial-mesenchymal transition (EMT) in the airway epithelium is associated with airway remodeling and the progression of pulmonary fibrosis. Many treatments have been shown to inhibit airway remodeling and pulmonary fibrosis progression in asthma and chronic obstructive pulmonary disease (COPD) by regulating EMT and have few side effects. This review aimed to describe the development of airway remodeling through the EMT pathway, as well as the potential therapeutic targets in these pathways. Furthermore, this study aimed to review the current research on drugs to treat airway remodeling and their effects on the EMT pathway. Findings. The dysregulation of EMT was associated with airway remodeling in various respiratory diseases. The cytokines released during inflammation may induce EMT and subsequent airway remodeling. Various drugs, including herbal formulations, specific herbal compounds, cytokines, amino acid or protein inhibitors, microRNAs, and vitamins, may suppress airway remodeling by inhibiting EMT-related pathways."
Idiopathic Pulmonary Fibrosis (an Update) and Progressive Pulmonary Fibrosis in Adults: An Official ATS/ERS/JRS/ALAT Clinical Practice Guideline,"Background This American Thoracic Society, European Respiratory Society, Japanese Respiratory Society, and Asociación Latinoamericana de Tórax guideline updates prior idiopathic pulmonary fibrosis (IPF) guidelines and addresses the progression of pulmonary fibrosis in patients with interstitial lung diseases (ILDs) other than IPF. Methods A committee was composed of multidisciplinary experts in ILD, methodologists, and patient representatives. 1) Update of IPF: Radiological and histopathological criteria for IPF were updated by consensus. Questions about transbronchial lung cryobiopsy, genomic classifier testing, antacid medication, and antireflux surgery were informed by systematic reviews and answered with evidence-based recommendations using the Grading of Recommendations, Assessment, Development and Evaluation (GRADE) approach. 2) Progressive pulmonary fibrosis (PPF): PPF was defined, and then radiological and physiological criteria for PPF were determined by consensus. Questions about pirfenidone and nintedanib were informed by systematic reviews and answered with evidence-based recommendations using the GRADE approach. Results 1) Update of IPF: A conditional recommendation was made to regard transbronchial lung cryobiopsy as an acceptable alternative to surgical lung biopsy in centers with appropriate expertise. No recommendation was made for or against genomic classifier testing. Conditional recommendations were made against antacid medication and antireflux surgery for the treatment of IPF. 2) PPF: PPF was defined as at least two of three criteria (worsening symptoms, radiological progression, and physiological progression) occurring within the past year with no alternative explanation in a patient with an ILD other than IPF. A conditional recommendation was made for nintedanib, and additional research into pirfenidone was recommended. Conclusions The conditional recommendations in this guideline are intended to provide the basis for rational, informed decisions by clinicians."
The Respiratory Microbiome in Chronic Hypersensitivity Pneumonitis Is Distinct from That of Idiopathic Pulmonary Fibrosis,"Rationale: Chronic hypersensitivity pneumonitis (CHP) is a condition that arises after repeated exposure and sensitization to inhaled antigens. The lung microbiome is increasingly implicated in respiratory disease, but, to date, no study has investigated the composition of microbial communities in the lower airways in CHP. Objectives: To characterize and compare the airway microbiome in subjects with CHP, subjects with idiopathic pulmonary fibrosis (IPF), and control subjects. Methods: We prospectively recruited individuals with a CHP diagnosis (n = 110), individuals with an IPF diagnosis (n = 45), and control subjects (n = 28). Subjects underwent BAL and bacterial DNA was isolated, quantified by quantitative PCR and the 16S ribosomal RNA gene was sequenced to characterize the bacterial communities in the lower airways. Measurements and Main Results: Distinct differences in the microbial profiles were evident in the lower airways of subjects with CHP and IPF. At the phylum level, the prevailing microbiota of both subjects with IPF and subjects with CHP included Firmicutes, Bacteroidetes, Proteobacteria, and Actinobacteria. However, in IPF, Firmicutes dominated, whereas the percentage of reads assigned to Proteobacteria in the same group was significantly lower than the percentage found in subjects with CHP. At the genus level, the Staphylococcus burden was increased in CHP, and Actinomyces and Veillonella burdens were increased in IPF. The lower airway bacterial burden in subjects with CHP was higher than that in control subjects but lower than that of those with IPF. In contrast to IPF, there was no association between bacterial burden and survival in CHP. Conclusions: The microbial profile of the lower airways in subjects with CHP is distinct from that of IPF, and, notably, the bacterial burden in individuals with CHP fails to predict survival."
Pulmonary Physiology and Medicine of Diving,"Abstract Pulmonary physiology is significantly altered during underwater exposure, as immersion of the body and increased ambient pressure elicit profound effects on both the cardiovascular and respiratory systems. Thoracic blood pooling, increased breathing gas pressures, and variations in gas volumes alongside ambient pressure changes put the heart and lungs under stress. Normal physiologic function and fitness of the cardiovascular and respiratory systems are prerequisites to safely cope with the challenges of the underwater environment when freediving, or diving with underwater breathing apparatus. Few physicians are trained to understand the physiology and medicine of diving and how to recognize or manage diving injuries. This article provides an overview of the physiologic challenges to the respiratory system during diving, with or without breathing apparatus, and outlines possible health risks and hazards unique to the underwater environment. The underlying pathologic mechanisms of dive-related injuries are reviewed, with an emphasis on pulmonary physiology and pathophysiology."
Preoperative respiratory muscle endurance training improves ventilatory capacity and prevents pulmonary postoperative complications after lung surgery: a randomized controlled trial.,"BACKGROUND
Resection surgery is the main treatment for non-small cell lung cancer (NSCLC).Postoperative complications and mortality are mostly linked to respiratory failure consecutive to respiratory muscle overload.


AIM
We aimed to evaluate the effect of preoperative respiratory muscle endurance training (RMET) on respiratory muscle capacity and postoperative complications in patients undergoing NSCLC resection.


DESIGN
Randomized controlled trial.


SETTING
French university hospital.


POPULATION
Patients eligible for NSCLC resection.


METHODS
The training group (T group) performed a 3-week preoperative RMET added to usual chest physical therapy while the control group (C group) had only the latter. The primary outcome was the change in respiratory muscle endurance. Secondary outcomes were postoperative complications and mortality. Assessments were performed similarly at baseline and after the intervention.


STATISTICS
We conducted multivariable analyses with analysis of covariance (ANCOVA) taking into account baseline values for isocapnic hyperpnoea endurance test, exercise capacity and pulmonary function tests. The number of pulmonary postoperative complication was analyzed by Fisher-exact test.


RESULTS
We included 26 patients with NSCLC (14 in the T group and 12 in the C group). Respiratory muscle endurance significantly increased in the T group after the RMET compared with C group (+229±199 vs. -5±371 sec, p=0.001). This increase was associated with a significantly lower number of pulmonary postoperative complications (2 vs. 10, p=0.037).


CONCLUSIONS
Preoperative RMET improved respiratory muscle endurance and decreased pulmonary postoperative complications after surgery for NSCLC. These positive results obtained after RMET may help improve the perioperative course for such patients. These results should be confirmed in larger randomized controlled trials, including higher number of patients especially with altered respiratory muscle function.


CLINICAL REHABILITATION IMPACT
Low-cost and easy to perform, RMET training could serve as complementary tool to usual chest physical therapy, before lung resection surgery."
From systems biology to P4 medicine: applications in respiratory medicine,"Human health and disease are emergent properties of a complex, nonlinear, dynamic multilevel biological system: the human body. Systems biology is a comprehensive research strategy that has the potential to understand these emergent properties holistically. It stems from advancements in medical diagnostics, “omics” data and bioinformatic computing power. It paves the way forward towards “P4 medicine” (predictive, preventive, personalised and participatory), which seeks to better intervene preventively to preserve health or therapeutically to cure diseases. In this review, we: 1) discuss the principles of systems biology; 2) elaborate on how P4 medicine has the potential to shift healthcare from reactive medicine (treatment of illness) to predict and prevent illness, in a revolution that will be personalised in nature, probabilistic in essence and participatory driven; 3) review the current state of the art of network (systems) medicine in three prevalent respiratory diseases (chronic obstructive pulmonary disease, asthma and lung cancer); and 4) outline current challenges and future goals in the field. Systems biology and network medicine have the potential to transform medical research and practice http://ow.ly/r3jR30hf35x"
Standardization of Spirometry 2019 Update. An Official American Thoracic Society and European Respiratory Society Technical Statement,"Background: Spirometry is the most common pulmonary function test. It is widely used in the assessment of lung function to provide objective information used in the diagnosis of lung diseases and monitoring lung health. In 2005, the American Thoracic Society and the European Respiratory Society jointly adopted technical standards for conducting spirometry. Improvements in instrumentation and computational capabilities, together with new research studies and enhanced quality assurance approaches, have led to the need to update the 2005 technical standards for spirometry to take full advantage of current technical capabilities. Methods: This spirometry technical standards document was developed by an international joint task force, appointed by the American Thoracic Society and the European Respiratory Society, with expertise in conducting and analyzing pulmonary function tests, laboratory quality assurance, and developing international standards. A comprehensive review of published evidence was performed. A patient survey was developed to capture patients’ experiences. Results: Revisions to the 2005 technical standards for spirometry were made, including the addition of factors that were not previously considered. Evidence to support the revisions was cited when applicable. The experience and expertise of task force members were used to develop recommended best practices. Conclusions: Standards and consensus recommendations are presented for manufacturers, clinicians, operators, and researchers with the aims of increasing the accuracy, precision, and quality of spirometric measurements and improving the patient experience. A comprehensive guide to aid in the implementation of these standards was developed as an online supplement."
Senolytic drugs in respiratory medicine: is it an appropriate therapeutic approach?,"ABSTRACT Introduction: Aging is the major risk factor for most of the chronic diseases. Cellular senescence is one of the main hallmarks of aging. A growing body of evidence implicates accelerated mechanisms of aging, including cellular senescence, in idiopathic pulmonary fibrosis (IPF) and chronic obstructive pulmonary disease (COPD) pathogenesis. Senolytics are pharmaceutical agents that eliminate senescent cells, thus blocking tissue degeneration and late life complications and allowing tissue regeneration. Areas covered: The potential use of senolytic drugs in respiratory medicine is examined and discussed. Expert opinion: The promising signal generated by preclinical studies supports proof-of-principle clinical studies with senolytic agents in the treatment of IPF, but this signal is not very strong, and furthermore, senolytic drugs could be detrimental in IPF patients. On the other hand, the preclinical evidence that these agents are able to influence the natural history of COPD is still lacking. COPD is a very heterogeneous lung disease presenting different (mixed) phenotypes. Given the difference in underlying pathology of these phenotypes, it can be envisaged that lung aging is more or differently involved in some of these phenotypes than others. Consequently, it will be difficult to determine which COPD patient will benefit from a treatment with senolytics."
Nuclear magnetic resonance-based metabolomics in respiratory medicine,"Metabolomics investigates the chemical end products of biological processes in living systems. It combines high-throughput analytical techniques with bioinformatics to investigate and quantify, in a global (untargeted) and/or specific (targeted) manner, the metabolites present in living systems in response to any exposure (including therapeutics), lifestyle, environmental and genetic stress [1]. The unique profile obtained can provide direct information on a physiological status or on a sequence of events in an organism. Since the metabolome (i.e. all the endogenous metabolites of molecular weight <1500 Da) is a downstream system of the proteome and transcriptome it is amplified covering several aspects of a pathology [2]. Therefore, selection of an appropriate biomatrix (exhaled breath condensate (EBC), urine, serum, plasma, bronchoalveolar lavage fluid (BALF), saliva or cell and tissue extracts) can shed light on several fields of medicine. In the near future, NMR-based metabolomics will become a valid means of support for pulmonary personalised and precision medicine http://ow.ly/CXOT30lpGUr"
Therapeutic Effects and Molecular Mechanisms of Bioactive Compounds Against Respiratory Diseases: Traditional Chinese Medicine Theory and High-Frequency Use,"Respiratory diseases, especially the pandemic of respiratory infectious diseases and refractory chronic lung diseases, remain a key clinical issue and research hot spot due to their high prevalence rates and poor prognosis. In this review, we aimed to summarize the recent advances in the therapeutic effects and molecular mechanisms of key common bioactive compounds from Chinese herbal medicine. Based on the theories of traditional Chinese medicine related to lung diseases, we searched several electronic databases to determine the high-frequency Chinese medicines in clinical application. The active compounds and metabolites from the selected medicines were identified using the Traditional Chinese Medicine Systems Pharmacology Database (TCMSP) by analyzing oral bioavailability and drug similarity index. Then, the pharmacological effects and molecular mechanisms of the selected bioactive compounds in the viral and bacterial infections, inflammation, acute lung injury (ALI), chronic obstructive pulmonary disease (COPD), pulmonary fibrosis, asthma, and lung cancer were summarized. We found that 31 bioactive compounds from the selected 10 common Chinese herbs, such as epigallocatechin-3-gallate (EGCG), kaempferol, isorhamnetin, quercetin, and β-sitosterol, can mainly regulate NF-κB, Nrf2/HO-1, NLRP3, TGF-β/Smad, MAPK, and PI3K/Akt/mTOR pathways to inhibit infection, inflammation, extracellular matrix deposition, and tumor growth in a series of lung-related diseases. This review provides novel perspectives on the preclinical study and clinical application of Chinese herbal medicines and their bioactive compounds against respiratory diseases."
Monogenic diseases in respiratory medicine: Clinical perspectives,"With the increasing awareness of genetics in respiratory medicine and improvements in molecular diagnostic techniques, many complicated and rare diseases in respiratory medicine can be diagnosed. Most respiratory diseases have no specific phenotype. However, the clinical spectrum of monogenic diseases in respiratory medicine varies, from pulmonary disease to other inherited disorders that involve the lung. The genes that mediate some of these diseases have been identified. Certain monogenic diseases remain poorly characterized clinically. Because of the specificity of the phenotype of respiratory disease, a future challenge will be to correlate the phenotype and genotype and understand its phenotypic variability. With the development of precision medicine, research on monogenic disorders has been intensive and vigorous. In this article, we provide a brief clinical introduction to monogenic diseases in pediatrics."
Diagnosis of Idiopathic Pulmonary Fibrosis. An Official ATS/ERS/JRS/ALAT Clinical Practice Guideline,"Background: This document provides clinical recommendations for the diagnosis of idiopathic pulmonary fibrosis (IPF). It represents a collaborative effort between the American Thoracic Society, European Respiratory Society, Japanese Respiratory Society, and Latin American Thoracic Society. Methods: The evidence syntheses were discussed and recommendations formulated by a multidisciplinary committee of IPF experts. The evidence was appraised and recommendations were formulated, written, and graded using the Grading of Recommendations, Assessment, Development, and Evaluation approach. Results: The guideline panel updated the diagnostic criteria for IPF. Previously defined patterns of usual interstitial pneumonia (UIP) were refined to patterns of UIP, probable UIP, indeterminate, and alternate diagnosis. For patients with newly detected interstitial lung disease (ILD) who have a high‐resolution computed tomography scan pattern of probable UIP, indeterminate, or an alternative diagnosis, conditional recommendations were made for performing BAL and surgical lung biopsy; because of lack of evidence, no recommendation was made for or against performing transbronchial lung biopsy or lung cryobiopsy. In contrast, for patients with newly detected ILD who have a high‐resolution computed tomography scan pattern of UIP, strong recommendations were made against performing surgical lung biopsy, transbronchial lung biopsy, and lung cryobiopsy, and a conditional recommendation was made against performing BAL. Additional recommendations included a conditional recommendation for multidisciplinary discussion and a strong recommendation against measurement of serum biomarkers for the sole purpose of distinguishing IPF from other ILDs. Conclusions: The guideline panel provided recommendations related to the diagnosis of IPF."
Multi‐disciplinary collaborative consensus guidance statement on the assessment and treatment of breathing discomfort and respiratory sequelae in patients with post‐acute sequelae of SARS‐CoV‐2 infection (PASC),"Division of Pulmonary, Critical Care, and Sleep Medicine, Beth Israel Deaconess Medical Center, Harvard Medical School, Boston, Massachusetts, USA Division of Pulmonary and Critical Care, Massachusetts General Hospital, Harvard Medical School, Boston, Massachusetts, USA Good Shepherd Penn Partners, Penn Therapy & Fitness – University City, Philadelphia, Pennsylvania, USA Department of Rehabilitation Medicine, Montefiore Health System, Albert Einstein College of Medicine, Bronx, New York, USA JFK Johnson Rehabilitation Institute at Hackensack Meridian Health, Edison, New Jersey, USA Department of Physical Medicine and Rehabilitation, The MetroHealth System, Case Western Reserve University, Cleveland, Ohio, USA Department of Physical Medicine and Rehabilitation, Shirley Ryan AbilityLab, Northwestern University Feinberg School of Medicine, Chicago, Illinois, USA SLSampsel Consulting, LLC, Albuquerque, New Mexico, USA Department of Physical Medicine & Rehabilitation, Spaulding Rehabilitation Hospital, Harvard Medical School, Boston, Massachusetts, USA Physical Medicine & Rehabilitation, UT Southwestern Medical Center, Dallas, Texas, USA Department of Rehabilitation Medicine, UT Health San Antonio, San Antonio, Texas, USA Abilities Research Center, Department of Rehabilitation and Human Performance, Icahn School of Medicine at Mount Sinai, New York, New York, USA Department of Rehabilitation Medicine and Department of Medicine, Rusk Rehabilitation, NYU Langone Health, New York, New York, USA"
Phenotypes and personalized medicine in the acute respiratory distress syndrome,"Although the acute respiratory distress syndrome (ARDS) is well defined by the development of acute hypoxemia, bilateral infiltrates and non-cardiogenic pulmonary edema, ARDS is heterogeneous in terms of clinical risk factors, physiology of lung injury, microbiology, and biology, potentially explaining why pharmacologic therapies have been mostly unsuccessful in treating ARDS. Identifying phenotypes of ARDS and integrating this information into patient selection for clinical trials may increase the chance for efficacy with new treatments. In this review, we focus on classifying ARDS by the associated clinical disorders, physiological data, and radiographic imaging. We consider biologic phenotypes, including plasma protein biomarkers, gene expression, and common causative microbiologic pathogens. We will also discuss the issue of focusing clinical trials on the patient’s phase of lung injury, including prevention, administration of therapy during early acute lung injury, and treatment of established ARDS. A more in depth understanding of the interplay of these variables in ARDS should provide more success in designing and conducting clinical trials and achieving the goal of personalized medicine."
"Artificial intelligence in pulmonary medicine: computer vision, predictive model and COVID-19","Artificial intelligence (AI) is transforming healthcare delivery. The digital revolution in medicine and healthcare information is prompting a staggering growth of data intertwined with elements from many digital sources such as genomics, medical imaging and electronic health records. Such massive growth has sparked the development of an increasing number of AI-based applications that can be deployed in clinical practice. Pulmonary specialists who are familiar with the principles of AI and its applications will be empowered and prepared to seize future practice and research opportunities. The goal of this review is to provide pulmonary specialists and other readers with information pertinent to the use of AI in pulmonary medicine. First, we describe the concept of AI and some of the requisites of machine learning and deep learning. Next, we review some of the literature relevant to the use of computer vision in medical imaging, predictive modelling with machine learning, and the use of AI for battling the novel severe acute respiratory syndrome-coronavirus-2 pandemic. We close our review with a discussion of limitations and challenges pertaining to the further incorporation of AI into clinical pulmonary practice. Artificial intelligence (AI) is changing the landscape in medicine. AI-based applications will empower pulmonary specialists to seize modern practice and research opportunities. Data-driven precision medicine is already here. https://bit.ly/324tl2m"
